eldarius 160487366767 "2017-05-09 19:21:04 GMT" https://eldarius.tumblr.com/post/160487366767/mnogo-ja-sreće-imam-u-životu-a-ovi-sitni-udarci  True text
eldarius 159916061247 "2017-04-21 21:42:36 GMT" https://eldarius.tumblr.com/post/159916061247/kad-popeš-jednu-ili-dve-ili-tri-nebitno "  kad popeš jednu… kad popeš jednu ili dve tri nebitno onda svaka priča super zvuči tad je takozvani Johannes/Sveti Jovan ili John i Jo on je bre krajnje srbin. Pa pomisliš ma da… šta bre i Tito, taj Tito on je ti je kauboj, samo žvače i puši neke cigare na fotografijama i kurči se kao da je on lično pobio sve te indijance, on je zapravo amerikanac, ma on ti je, on ti je faca koja mu beše noga fali, krst, prst nešta mu je falilo. Nešta nije imao a bio je… šta sve nije bio a šta nam je tek uzeo 😆😩 Jel ti znaš šta je sve on bio i kod Kraljice Elizabete jevrej🙈 Kako volim ovaj Balkan, kada će počet opet neki dokumentarac da se prosvetli ćureća pamet… a ja ću još jedno pićence da žvrcnem da ne pošandrcnem među mudolijama" True text
eldarius 157838848262 "2017-02-28 23:33:47 GMT" https://eldarius.tumblr.com/post/157838848262/opening-tonightalbert-oehlen-at-gagosian-west "gagosiangallery: February 28, 2017 “Albert Oehlen: Elevator Paintings: Trees” opens tonight, February 28, 6–8PM ET, at Gagosian West 21st Street, NYC. Through expressionist brushwork, Surrealist methodology, computer-generated lines, and self-conscious amateurism, Oehlen multiplies the potential of visual codes through processes of persistent accretion.__________Image: Untitled (Baum 60), 2015, oil on ​dibond, 98 7/16 × 98 7/16 inches (250 × 250 cm) © Albert Oehlen. Photo by Simon Vogel. " False text
eldarius 157288698232 "2017-02-15 22:08:41 GMT" https://eldarius.tumblr.com/post/157288698232/press-releasesterling-ruby-at-gagosian-madison "gagosiangallery: February 15, 2017 STERLING RUBY Opening reception:Wednesday, March 1, 6–8PMMarch 1–April 15, 2017980 Madison AvenueNew York, NY 10075I am smashing all of my previous attempts and futile, contemporary gestures, placing them into a mortar, and grinding them down with a pestle. If I put all of these remnants into a basin, and it gets taken away from me, then I am no longer responsible for all my misdirected efforts.—Sterling Ruby Gagosian is pleased to present new ceramic sculptures and paintings by Sterling Ruby. In his paintings, collages, sculptures, and videos, Ruby infuses the formal with the abject, allowing materials to melt and overlap in biomorphic and geomorphic aggregations. Ruby’s current exhibition features the largest basins that he has produced to date in the Basin Theology series, as well as figurative and totemic ceramics that recall common artifacts. Ceramic cradles bear an eerie resemblance to graves, evoking the cyclical nature of human life, and otherwise abstract totems stand upright, like soldiers in formation. These deep, textured vessels contain studio remnants and discarded fragments set beneath viscous glazes. Their variegated surfaces feature coloristic effects resulting from different stages of kiln-firing. In the layered glazes that engulf shards of ceramic debris, vibrant, often eerie, landscapes appear. Entropy gives rise to an entirely new archeological form.CONTINUE READING… " False text
eldarius 155527105647 "2017-01-07 13:57:06 GMT" https://eldarius.tumblr.com/post/155527105647/your-blog-is-simply-amazing "archatlas: Hey! We just wanted to say that we love your blog, you inspire us. Keep up the good work, we’re looking forward to see more.Thanks for the kind words!" False text
eldarius 155480022102 "2017-01-05 12:43:48 GMT" https://eldarius.tumblr.com/post/155480022102/gde-prestaje-logika-tu-pocinju-moji-planovi  True text
eldarius 155427677722 "2017-01-02 07:39:25 GMT" https://eldarius.tumblr.com/post/155427677722/es-ist-komisch-dass-wir-gott-bitten-unsere  True text
eldarius 155222866522 "2016-12-31 22:20:26 GMT" https://eldarius.tumblr.com/post/155222866522/two-comets-will-be-visible-on-new-years-eve "fyp-psychology: fyp-science: This special night, two comets will be visible in the night sky. With the help of your binoculars, get ready to see  this phenomena tonight! Keep reading " False text
eldarius 155223364707 "2016-12-21 22:20:26 GMT" https://eldarius.tumblr.com/post/155223364707/womens-work "dazeddigital:  This artist is stitching her own hand with needle and thread to explore the stereotype of ‘feminine’ work. " False text
eldarius 155223631842 "2016-12-21 22:20:26 GMT" https://eldarius.tumblr.com/post/155223631842/eldaweb-die-einzige-waffe-gegen-angst-ist "eldaweb:  “Die einzige Waffe gegen Angst ist manchmal, genau das zu machen, wovor man sich am meisten fürchtet.”  " False text
eldarius 160224020792 "2017-05-02 10:02:42 GMT" https://eldarius.tumblr.com/post/160224020792/the-urban-lens-explore-the-whimsical-photography  True link
eldarius 159307594147 "2017-04-07 17:54:35 GMT" https://eldarius.tumblr.com/post/159307594147/century-old-posters-of-us-wwi-entry-are-timely  True link
eldarius 158323369992 "2017-03-12 20:59:18 GMT" https://eldarius.tumblr.com/post/158323369992/garlic-spinach-and-cheddar-quiche-is-redilicious  True link
eldarius 158323329727 "2017-03-12 20:58:12 GMT" https://eldarius.tumblr.com/post/158323329727/ghostbusters-are-back  True link
eldarius 158323324972 "2017-03-12 20:58:04 GMT" https://eldarius.tumblr.com/post/158323324972/paint-nites-are-the-next-big-thing  True link
eldarius 157346075382 "2017-02-17 06:26:31 GMT" https://eldarius.tumblr.com/post/157346075382/adastra-iskreno-soundcloud "Listen to Adastra Iskreno by -Adastra- #np on #SoundCloud" True link
eldarius 157304882057 "2017-02-16 06:04:45 GMT" https://eldarius.tumblr.com/post/157304882057/metaxa-kpow-reprodukcija-3-full-mix "Listen to Metaxa & K'Pow - REprodukcija 3 (Full Mix) by K'Pow #np on #SoundCloud" True link
eldarius 155515232777 "2017-01-07 05:51:17 GMT" https://eldarius.tumblr.com/post/155515232777/christmas-time-in-streets-of-ekaterinburg-by-max "archatlas: Christmas time in streets of Ekaterinburg, Russia" False link
