a-dreamers-universe 160997170488 "2017-05-23 21:20:59 GMT" http://a-dreamers-universe.tumblr.com/post/160997170488/like-one-year-ago-we-had-the-teaser-trailer-from  True text
a-dreamers-universe 160902549843 "2017-05-21 08:32:24 GMT" http://a-dreamers-universe.tumblr.com/post/160902549843/whatever-fangirl-i-dont-get-why-some-people "whatever-fangirl: I don’t get why some people don’t like barbie movies!!! Like  seriously    this  shit  is   AMAZING     AnD   so  FuCKinG   IMPORTANT!!!!  Don’t     even  trY  tO  Convince  mE   OTHERWISE!   THIS WAS A BARBIE APPRECIATION POST!!!  " False text
a-dreamers-universe 160798556453 "2017-05-18 09:48:58 GMT" http://a-dreamers-universe.tumblr.com/post/160798556453/help "I am so confused! There are all these HQ Beauty and the Beast gifs out and I don’t get it… the dvd willcome out the 6th of June! Is the digital version already out???" True text
a-dreamers-universe 160762212298 "2017-05-17 08:57:06 GMT" http://a-dreamers-universe.tumblr.com/post/160762212298/oh-no-but-what-if-belle-showed-everyone-the-magic "spncassbutt: and was all like “the Beast is real my father’s not a lunatic!!” and the mirror shows the Beast was doing something very anticlimactic  Like brushing his teeth or taking a dump or reading the newspaper with some Beast-sized glasses on and drinking tea from a small cup  or maybe solemnly dancing with the wooden coat hanger since he wasn’t over his dance with belle or something idk  My new favourite thing" False text
a-dreamers-universe 160762151393 "2017-05-17 08:52:32 GMT" http://a-dreamers-universe.tumblr.com/post/160762151393/parent-adam-and-belle-headcanons "tonal-gleeson: Because yes.  Belle holds off on telling Adam she’s pregnant for the longest time, because she wants to be sure. Eventually, she can’t decide on how to tell him, so she keeps putting it off until Adam notices she’s acting strange.  Adam: “Are you okay, you’ve been acting very agitated lately” Belle: “No, I’m fine” Adam: “I know when you’re fine, and you are not fine”  They get into an argument, and Belle lets it slip that’s she’s pregnant without even meaning to. Adam goes completely silent, with pure shock and joy on his face. Adam asks if she’s serious, and Belle answers of course she’s serious why would she lie about this? Adam goes silent again, taking it all in. He then finally rushes up to her, picks her up, and twirls her around in his arms.  When they announce Belle’s pregnancy to the royal court, some of the nobles are all “oh have you chosen a nanny/governess?” and Adam and Belle are like “um wtf no?”  Both Adam and Belle eventually (and begrudgingly) relent when Cogsworth insists they hire a governess because they’ve become so tired they’re falling asleep at the dinner table. Still, Adam and Belle take every possible opportunity to see their children. About a month before the birth, Adam suddenly becomes very nervous about parenthood. The shadow of his father looms over him, as well as what happened to his mother. Belle reassures him that he’s not his father, and could never be.  Belle gives birth to twins: first a boy, then a girl.  Adam is pacing the hell out of the floor outside the room in nervousness and anticipation. (”It’s not supposed to last this long, is it?”). Cogsworth tries to calm him down, but it doesn’t work. Finally, the physician exits comes out to deliver the news. Adam rushes into the room, overwhelmed at the sight of Belle, and his new children. He starts crying, and Belle starts crying at the sight.  While Adam and Belle are decisive about their son’s name, they’re less so about their daughter’s. Adam wants to name her after Belle’s mother, while Belle wants to name her after Adam’s. They eventually come to the consensus that the girl with have both of the mothers’ names, and Adam relents, letting Belle decide which order they will be.  Adam rivals Maurice with his overprotectiveness. Belle has to remind him not to worry constantly. Even so, he’s worried that one little mistake will make him like his father.  Belle and Adam take turns readings to their children at night (and sometimes get into playful competitions over who tells the best bedtime story). They also sing to their children. All the time.  The family often go on walks in the gardens. Belle usually recites a passage from the book she’s been reading. One morning, she recites from Romeo and Juliet, and Adam gives her a look and says “you’re not trying to convert the children into loving that, are you?” and Belle just laughs and continues to recite, and Adam can’t help but love it because dammit it sounds so good when she says it.  Their children get Expensive Educations™.  " False text
a-dreamers-universe 160761880338 "2017-05-17 08:33:32 GMT" http://a-dreamers-universe.tumblr.com/post/160761880338/i-was-watching-beauty-and-the-beasts-character "And I don’t know if this was a thoughtful decision or not, but I love the fact that Belle:The Beast (and the Prince):Are all turned on the same side, while Gaston is on the other side:I don’t know, I mean, it’s kind of symbolic for me…Like Belle and Adam (I will always call him like that) are following the same path, while Gaston is opposite to their way of thinking and acting." True text
a-dreamers-universe 160670649013 "2017-05-14 21:26:29 GMT" http://a-dreamers-universe.tumblr.com/post/160670649013/varaeya-i-dont-usually-look-at-youtube "varaeya: I don’t usually look at youtube comments because why would I do that, but I’m glad that I did in this case because" False text
a-dreamers-universe 160593431378 "2017-05-12 19:15:11 GMT" http://a-dreamers-universe.tumblr.com/post/160593431378/everybodys-waiting-for-beauty-and-the-beasts "jaydofmo: a-dreamers-universe:#pleaseletitbeinthedvdandbluray Better just Blu-Ray and digital. Disney does little to no bonuses on DVD anymore. Yes, that’s true…" False text
a-dreamers-universe 160581817268 "2017-05-12 11:05:53 GMT" http://a-dreamers-universe.tumblr.com/post/160581817268/everybodys-waiting-for-beauty-and-the-beasts #pleaseletitbeinthedvdandbluray True text
a-dreamers-universe 160578443233 "2017-05-12 07:25:25 GMT" http://a-dreamers-universe.tumblr.com/post/160578443233/i-cant-get-over-adams-smile-here "tinydooms: a-dreamers-universe:  Just look how happy he is. Literally, you can feel that Belle is the most precious thing he has.  So apparently the DVD comes out in June and then we will have ALL the high quality gifs. Yes finally 😍" False text
a-dreamers-universe 160565107143 "2017-05-11 23:02:13 GMT" http://a-dreamers-universe.tumblr.com/post/160565107143/i-cant-get-over-adams-smile-here "myst-l-vie: a-dreamers-universe: Just look how happy he is. Literally, you can feel that Belle is the most precious thing he has.  And you’re right (okay, different post here) that bow is tied perfectly! That hair bow is PERFECTION.I can’t even 😍😍😍" False text
