a-life-of-charm-and-grace 161047619234 "2017-05-25 05:13:47 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161047619234/the-nerd-i-reblogged-this-from-has-a-quality-blog  True text
a-life-of-charm-and-grace 161046735269 "2017-05-25 04:41:51 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161046735269/nele15-help-me-father-for-i-am-weak-and-also-an "nele15: Help me Father for I am weak and also an idiot." False text
a-life-of-charm-and-grace 161046654894 "2017-05-25 04:39:05 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161046654894/gregorian-chant-and-chill "nele15: Reblog if you agree." False text
a-life-of-charm-and-grace 161045286539 "2017-05-25 03:52:59 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161045286539/raise-the-jolly-roger "ivan-nova:I’m guessing we aren’t second to last in home runs anymore ✨" False text
a-life-of-charm-and-grace 161024664779 "2017-05-24 16:10:36 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161024664779/theangelicarmy "theangelicarmy: " False text
a-life-of-charm-and-grace 161009896609 "2017-05-24 04:27:32 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161009896609/chronically-caffeinic "chronically-caffeinic: a-life-of-charm-and-grace: Please pray for the Philippines. My stepmother is Filipina and much of her family still lives there. I’m not sure exactly what’s going on because it’s all very chaotic and President Duterte simply likes to have control of everything.  Is there any update on Marawi that you’ve heard? Islamic State Militants had taken over a hospital last I saw..?  I know that Duterte declared martial law. And just for information sake, it’s not actually ISIS that took control, it’s a group claiming to be allied with them - the Maute. The whole city is blacked out and there are gunmen everywhere. I also know they are burning down Catholic Churches. " False text
a-life-of-charm-and-grace 161009763004 "2017-05-24 04:23:09 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161009763004/theangelicarmy "theangelicarmy: " False text
a-life-of-charm-and-grace 161009260224 "2017-05-24 04:06:33 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161009260224/please-pray-for-the-philippines-my-stepmother-is "Please pray for the Philippines. My stepmother is Filipina and much of her family still lives there. I’m not sure exactly what’s going on because it’s all very chaotic and President Duterte simply likes to have control of everything. " True text
a-life-of-charm-and-grace 161008628474 "2017-05-24 03:45:30 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/161008628474/gaze-on-jesus-i-am-the-utter-poverty-of-god-i "gaze-on-jesus: “I am the utter poverty of God. I am His emptiness, littleness, nothingness, lostness. When this is understood, my life in His freedom, the self-emptying of God in me is the fullness of grace. A love for God that knows no reason because He is the fullness of grace. A love for God that knows no reason because He is God, a love without measure, a love for God as personal. Love for all, hatred of none, is the fruit and manifestation of love for God - peace and satisfaction. Forgetfulness of worldly pleasure, selflessness in the love for God, channeling all passion and emotion into the love for God” [Thomas Merton - Journal entry May 16, 1968].  " False text
a-life-of-charm-and-grace 160989480769 "2017-05-23 17:01:56 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/160989480769/insignificantprincess-just-found-all-of-wizards "@insignificantprincess just found all of Wizards of Waverly Place. We know what we’re watching for the foreseeable future." True text
a-life-of-charm-and-grace 160988475999 "2017-05-23 16:25:12 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/160988475999/just-a-reminder-that-when-a-fellow-priest "Just a reminder that when a fellow priest asked Padre Pio to pray for JFK after the assassination, he replied that Kennedy was ”already in paradise.” And I think that’s just awesome. " True text
a-life-of-charm-and-grace 160984740149 "2017-05-23 14:00:12 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/160984740149/quote-of-the-day ancientorigins: False text
a-life-of-charm-and-grace 160971291304 "2017-05-23 03:19:13 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/160971291304/pray-for-victims-of-terrorism  True text
a-life-of-charm-and-grace 160950375324 "2017-05-22 15:45:13 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/160950375324/reblog-if-you-think-public-libraries-are-important "inb4 libertarians say if people want knowledge the market will provide it " False text
a-life-of-charm-and-grace 160949878404 "2017-05-22 15:26:45 GMT" http://a-life-of-charm-and-grace.tumblr.com/post/160949878404/dont-call-yourself-a-real-goth-unless-you-are-part  True text
