doodlezisdead 161055526827 "2017-05-25 12:17:12 GMT" https://doodlezisdead.tumblr.com/post/161055526827/soon-to-be-in-internet-blackout  True text
doodlezisdead 161025052163 "2017-05-24 16:25:07 GMT" https://doodlezisdead.tumblr.com/post/161025052163/thelittlesirennn-why-does-sweeney-todd-always "thelittlesirennn: why does Sweeney Todd always make me emotional Because it’s amazing!" False text
doodlezisdead 161024292527 "2017-05-24 15:57:06 GMT" https://doodlezisdead.tumblr.com/post/161024292527/fuckhardandcum-when-you-want-to-masturbate-but "fuckhardandcum: When you want to masturbate but you want someone to do it for you" False text
doodlezisdead 161018462407 "2017-05-24 11:43:04 GMT" https://doodlezisdead.tumblr.com/post/161018462407/guttercum-let-me-make-you-feel-good-with-my "guttercum:let me make you feel good with my tongue and fingers" False text
doodlezisdead 161017943545 "2017-05-24 11:14:33 GMT" https://doodlezisdead.tumblr.com/post/161017943545/pochowek-havent-been-to-a-funeral-ever-but-i "pochowek:  Haven’t been to a funeral ever but I trust my brain to make me recall about this video without any fault if I ever go to one " False text
doodlezisdead 161016119397 "2017-05-24 09:21:36 GMT" https://doodlezisdead.tumblr.com/post/161016119397/jessie-is-tired-be-the-bigger-person-get-really "jessie-is-tired: Be the bigger person. Get really buff and then knock the fucking shit out of them" False text
doodlezisdead 160997643654 "2017-05-23 21:35:49 GMT" https://doodlezisdead.tumblr.com/post/160997643654/methods-for-spells "orriculum:  TO BIND- wrap in black thread, drip wax over, or seal in a jar and hide it in the dark. TO BANISH- burn an effect to ash and sweep off the back door step, cast it out a window, or bury in the ground and spit on it TO ENCOURAGE-  plant it by the front door/steps, bury by a window, or place it on a windowsill TO HIDE- place in a jar painted black, cover with cloth and bury, or wrap with a ribbon TO CLEANSE- bury it in a bowl of  salt, burn herbs and pass through the smoke, or lay it in a moonwater bath TO GLAMOUR- leave under the full moon, hold its reflection over a mirror with herbs, or  TO WISH- place before a candle and blow it out, drown a coin in water, or let seeds blow into the wind TO COMMUNICATE- (with a spirit or deity) - anoint a candle, leave out offerings, or open the front doors and windows TO WARD- leave part of the spell in four corners, draw lines around the protected area, or plant an object of projection in the north, east, south, and west edges TO CURSE- spit on it, drag your nails down it, or stick sharp things in it TO DISCOURAGE - plant or bury by the back door, or burn to ash TO JINX- say it three times out loud, or say a word the same time as someone else TO MANIPULATE - use wax, use poppets, or tie several strings to pieces of an effect TO BENEFIT - light a candle, charge a crystal, or create a talisman " False text
doodlezisdead 160996736083 "2017-05-23 21:07:21 GMT" https://doodlezisdead.tumblr.com/post/160996736083/arosapphics-aspecpplarebeautiful-a-romantic "arosapphics:  aspecpplarebeautiful: A romantic relationship that doesn’t involve sex is just as valid as one that does. A sexual relationship that doesn’t involve romance is just as valid as one that does. " False text
doodlezisdead 160978158872 "2017-05-23 07:51:33 GMT" https://doodlezisdead.tumblr.com/post/160978158872/can-people-please-stop-blowing-each-other-up  True text
doodlezisdead 160915418452 "2017-05-21 17:44:13 GMT" https://doodlezisdead.tumblr.com/post/160915418452/im-a-6ft-4-hairy-tattooed-hard-ass "And I still want to be the little spoon from time to time" True text
doodlezisdead 160869741566 "2017-05-20 11:14:38 GMT" https://doodlezisdead.tumblr.com/post/160869741566/kitfisto-remember-to-drink-a-fucking-shit-ton-of "kitfisto: remember to drink a fucking shit ton of water every miserable day of ur life" False text
doodlezisdead 160862186583 "2017-05-20 04:39:14 GMT" https://doodlezisdead.tumblr.com/post/160862186583/guttercum-wanna-fuck "guttercum:wanna fuck?" False text
doodlezisdead 160860677168 "2017-05-20 03:42:45 GMT" https://doodlezisdead.tumblr.com/post/160860677168/andrewbreitel-reblog-if-ur-a-disgusting-piece-of "andrewbreitel: reblog if ur a disgusting piece of shit " False text
doodlezisdead 160856970630 "2017-05-20 01:21:46 GMT" https://doodlezisdead.tumblr.com/post/160856970630/perksofbeingafanboy-motivation-havent-heard-of "perksofbeingafanboy: motivation? haven’t heard of her in years how she doin" False text
doodlezisdead 160816734800 "2017-05-18 22:04:11 GMT" https://doodlezisdead.tumblr.com/post/160816734800/send-me-have-you-evers-and-i-can-only-reply-with  True text
doodlezisdead 160808451226 "2017-05-18 17:21:53 GMT" https://doodlezisdead.tumblr.com/post/160808451226/computerworm-my-pronouns-are-hoe-hoes-hoeself "computerworm:my pronouns are hoe / hoes / hoeself" False text
doodlezisdead 160804762288 "2017-05-18 15:00:35 GMT" https://doodlezisdead.tumblr.com/post/160804762288/hijerking-hijerking-guys-have-you-ever-seen "hijerking: hijerking: guys have you ever seen how you weigh a baby giraffe isn’t life great " False text
doodlezisdead 160799931865 "2017-05-18 11:14:42 GMT" https://doodlezisdead.tumblr.com/post/160799931865/gaysuggestions-netflix-andrest-your-head-on-my "gaysuggestions: netflix and…rest your head on my thigh while I run my fingers through your hair continuously" False text
