leohearts 118793842200 "2015-05-12 17:55:39 GMT" http://leohearts.tumblr.com/post/118793842200/reblog-if-your-mom-is-beautiful  True text
leohearts 116478114310 "2015-04-15 17:06:47 GMT" http://leohearts.tumblr.com/post/116478114310/original-clothing-designs "Hi Everyone, Hope everyone is having a good day and I hope the weather is nice wherever you are.   Natasha (once-jaded) is a designer who designs clothing that say something about you. Please have a look at her clothing.   Best of luck Natasha.   Hope all is well with everyone, thank you. Lx" True text
leohearts 116035798250 "2015-04-10 16:16:55 GMT" http://leohearts.tumblr.com/post/116035798250/this-is-to-passionate-gfx "Tried messaging you this but I think the characters were too much so it wouldn’t let me. Hope you get this. Don’t ever think that, you did nothing wrong. This was not your fault.  He is an idiot to let you go. He wanted space and wasn’t ready for a relationship so you gave him space which was good. But then he goes behind your back and starts dating another girl that is just wrong. I don’t know you personally but I bet your amazing and beautiful you don’t need to waste your time thinking about him. I know this is painful and you must really like him. But trust me you don’t need a guy like that in your life.  You will find someone better who will treat you right. Just be yourself always and never give up. Let me know if this helps. Lx" True text
leohearts 88789322310 "2014-06-14 20:25:51 GMT" http://leohearts.tumblr.com/post/88789322310/reblog-this-if-you-think-it-is-wrong-to-joke  True text
leohearts 85326941810 "2014-05-10 16:35:58 GMT" http://leohearts.tumblr.com/post/85326941810/misha-collins "As a fundraiser for his charity, he pledged to run over 50 miles and then did." True text
leohearts 85325814965 "2014-05-10 16:22:46 GMT" http://leohearts.tumblr.com/post/85325814965/misha-collins "He founded Random Acts, a non-profit organization that encourages people around the world to perform everyday acts of kindness." True text
leohearts 81609369875 "2014-04-03 19:55:10 GMT" http://leohearts.tumblr.com/post/81609369875/just-a-simple-no-can-save-you-from-a-lot "onmyknees247:  No. " False text
leohearts 79805480878 "2014-03-16 22:12:34 GMT" http://leohearts.tumblr.com/post/79805480878/17-most-important-things-to-remember-in-life "1. Never give up on anybody;miracles happen everyday.2.Be brave even if your not, pretend to be. No one can tell the difference. 3. Think big thoughts, relish small pleasures.4. Learn to listen. Oppurtunity sometimes knocks very softly.5. Never deprive someone of hope, it might be all they have.6. Strive for excellence, not perfection.7. Don’t waste time greiving over past mistakes. Learn from them and move on.8. When someone hugs you let them be the first to let go.9. Never cut what can be untied.10. Don’t expect life to be fair.11. Remember:Success comes to the one that acts first.12. Never waste an oppurtunity to tell someone you love them.13. Remember that nobody makes it alone. Have a greatful heart and be quick to acknowledge those who help you.14. Never underestimate the power of a kind word or deed.15. Laugh alot.A good sense of humor cures almost all of life’s ills.16. Don’t miss the magic of the moment by focusing on whats to come.17. Watch for big problems. They disguise big oppurtunities." True text
leohearts 79803719219 "2014-03-16 21:55:02 GMT" http://leohearts.tumblr.com/post/79803719219/lifes-highs "1. Laughing hysterically2. Dancing your heart out3. Star gazing4. Shopping5. Going to the beach6. Listening to the rain7. Ice-cream on a hot day8. Feeling wanted9. Getting that warm, fuzzy feeling when you think about the one you love10. Receiving text messages11. Personal jokes12. Complements13. Late night phone calls14. Christmas15. Hugs16. Kisses17. Knowing someone misses you18. Knowing someone is thinking of you19. Good dreams20. Someone showing kindness 21. Lying on the grass starring into the sky22. Jumping into a warm bed on a cold night23. Seeing your guys/girls name on your mobile when it rings24. Your first kiss 25. Talking for hours about absolutely nothing26. Looking back on the laughs27. Receiving presents28. Giving presents29. Birthdays30. Seeing your boyfriend/girlfriend31. Turning on the radio to hear that your favourite song is being played32. Running into an old friend33. Strolling along the pier at night34. Sleeping in35. Watching the sun come up36. Seeing a shooting star37. Waking up to find the person you love in your arms38. Weekends39. Holidays40. Making someone smile41. Sitting in front on the fire on a cold evening42. Smell of freshly baked chocolate chip cookies43. Bubble baths44. Being so happy it makes you cry45. Summer46. Achieving a long time goal47. Warm nights 48. Falling in love…" True text
leohearts 78355724790 "2014-03-02 20:39:23 GMT" http://leohearts.tumblr.com/post/78355724790/dance-me-to-the-end-of-love "Dance with me in loveDance with me in lifeWhen did enduring love begin?The day we became man and wifeThere is patience and understandingWe try to be unselfish and kindThough not a fairy-tale romanceNo greater love will we findSharing dreams, passions, and desiresBuilding each other up when we fallWe’ve learned to say I’m sorryAnd I love you through it allOur two hearts beat as oneCherishing what we have from aboveDance with me foreverDance me to the end of love By Salman Parker" True text
leohearts 78351496155 "2014-03-02 20:00:09 GMT" http://leohearts.tumblr.com/post/78351496155/the-web "CreativelyYou worked your artYou spun a webAround my heartHow beautifullyYour deeds have spreadEach intricatelyWoven threadWith strands of careYou dried my tearsYour gentlenessDispelled my fearsYour wisdomHelped me understandAnd patientlyYou held my handTo give me courageTo brave the stormWith kindnessYou have kept me warmYour passionLit a glowing fireThat filled my soulWith sweet desireYou’re allThat I was dreaming ofFor the web you spunWas made of love By Sherri Deskins" True text
