tvhousehusband 161061906753 "2017-05-25 16:41:12 GMT" http://tvhousehusband.tumblr.com/post/161061906753/current-mood  True text
tvhousehusband 160928350528 "2017-05-22 00:28:08 GMT" http://tvhousehusband.tumblr.com/post/160928350528/titus-lemonadeing-is-giving-me-life-bless-him  True text
tvhousehusband 160908681053 "2017-05-21 13:55:19 GMT" http://tvhousehusband.tumblr.com/post/160908681053/me-binge-watching-my-faves  True text
tvhousehusband 160740434208 "2017-05-16 19:28:08 GMT" http://tvhousehusband.tumblr.com/post/160740434208/hold-on-to-your-weaves-roseanne-is-getting-a  True text
tvhousehusband 160522320193 "2017-05-10 18:56:30 GMT" http://tvhousehusband.tumblr.com/post/160522320193/me Me: True text
tvhousehusband 160494835618 "2017-05-09 23:21:01 GMT" http://tvhousehusband.tumblr.com/post/160494835618/trump-fires-comey "(Got the GIF from here)" True text
tvhousehusband 160457233438 "2017-05-08 22:27:16 GMT" http://tvhousehusband.tumblr.com/post/160457233438/me-blasting-nprs-streaming-of-the-bette-midler "It’s fab! And I can’t wait to see it next week." True text
tvhousehusband 160405754848 "2017-05-07 14:42:12 GMT" http://tvhousehusband.tumblr.com/post/160405754848/current-mood  True text
tvhousehusband 160320457423 "2017-05-05 02:18:18 GMT" http://tvhousehusband.tumblr.com/post/160320457423/so-happy-well-get-to-see-this-beautiful-man "So happy we’ll get to see this beautiful man again: " True text
tvhousehusband 160238261028 "2017-05-02 19:56:40 GMT" http://tvhousehusband.tumblr.com/post/160238261028/i-am-now-back-to-being-an-activist-citizen-and  True text
tvhousehusband 160228551763 "2017-05-02 14:00:21 GMT" http://tvhousehusband.tumblr.com/post/160228551763/hello-tony-award-nominated-legendary-diva  True text
tvhousehusband 160121119468 "2017-04-29 16:11:13 GMT" http://tvhousehusband.tumblr.com/post/160121119468/dorinda-medley-gave-a-bravura-performance-in-the  True text
tvhousehusband 160036734918 "2017-04-27 03:41:52 GMT" http://tvhousehusband.tumblr.com/post/160036734918/tonight-on-rhony-dorinda-completes-her "Tonight on RHONY, Dorinda completes her transformation into Carmela Soprano–or has Edie Falco been playing her the whole time?:" True text
tvhousehusband 160016931203 "2017-04-26 16:33:05 GMT" http://tvhousehusband.tumblr.com/post/160016931203/phaedra-parkss-middle-name-is "Yes. Phaedra Creonta Parks." True text
tvhousehusband 159736995408 "2017-04-19 01:46:00 GMT" http://tvhousehusband.tumblr.com/post/159736995408/im-opting-out-of-viewing-rhobh-and-instead "I’m opting out of viewing RHOBH and instead drinking whilst looking up the live results for Ossoff." True text
tvhousehusband 159546941403 "2017-04-14 00:58:27 GMT" http://tvhousehusband.tumblr.com/post/159546941403/tvhousehusband-i-need-a-broadway-sugar-daddy-so "tvhousehusband: I need a Broadway sugar daddy so he can take me to see:  Hello Dolly!* Sunset BoulevardAmelie Sunday in the Park with George*War PaintThe Glass Menagerie * I may have treated myself to these. I mean Bette and Jake!?  Since posting this, I’ve seen War Paint and Sunset Boulevard. Glenn Close gave me chills during “As If We Never Said Goodbye” and Patti LuPone and Christine Ebersole reminded me I’m very gay. I have, however, not found a sugar daddy. " False text
tvhousehusband 159283558633 "2017-04-07 00:45:45 GMT" http://tvhousehusband.tumblr.com/post/159283558633/my-mom-was-talking-about-rhony-and-how-brittheny "My mom was talking about RHONY and how “Brittheny” and “Joanne” got into an argument over the fiancé. I didn’t have the heart to tell her their names are Bethenny and Luann. Nor did I tell her the new season has started." True text
tvhousehusband 159263883913 "2017-04-06 13:22:38 GMT" http://tvhousehusband.tumblr.com/post/159263883913/who-loves-tartan-day-more-than-nicole-sturgeon "Who loves Tartan Day more than Nicole Sturgeon? " True text
tvhousehusband 159173776478 "2017-04-04 02:17:32 GMT" http://tvhousehusband.tumblr.com/post/159173776478/just-finished-big-little-lies-and-honestly-all-i "Just finished Big Little Lies and honestly all I can think about is this year’s TV movie/miniseries Emmys best actress category. It’s going to be a blood bath.  Nicole Kidman vs Reese Witherspoon vs Oprah vs Jessica Lange vs Susan Sarandon. Who’s a gay to root for? Can there be a five-way tie?" True text
tvhousehusband 158988634948 "2017-03-30 03:34:55 GMT" http://tvhousehusband.tumblr.com/post/158988634948/this-cookie-custom-twitter-emoji-is-the-best "This Cookie custom Twitter emoji is THE BEST:" True text
