marvelgifs 151136383083 "2016-09-30 07:03:29 GMT" http://marvelgifs.tumblr.com/post/151136383083/luke-cage-is-now-available-to-stream-on-netflix  True text
marvelgifs 147870178678 "2016-07-24 01:04:20 GMT" http://marvelgifs.tumblr.com/post/147870178678/sdcc-2016-marvels-black-panther-confirms "During Marvel Studios’ Hall H presentation in San Diego, Marvel’s “Black Panther” Producer Kevin Feige introduced fans to the rest of the film’s cast!In addition to Chadwick Boseman, the Black Panther himself, and director Ryan Coogler, Feige also welcomed to the stage Michael B. Jordan, who will play Erik Killmonger; Lupita Nyong’o, taking the role of Nakia; and Danai Gurira as Okoye.Additionally, fans got their first look at the new logo for the film, on display above.(Source)" True text
marvelgifs 147866532143 "2016-07-23 23:23:18 GMT" http://marvelgifs.tumblr.com/post/147866532143/fxs-legion-trailer-offers-first-look-at-x-men "FX Networks has officially released the trailer for their X-Men spin-off show Legion which you can check out in the player below! The eight-episode first season started production this summer in Vancouver and will debut on FX in early 2017.Legion introduces the story of David Haller: Since he was a teenager, David has struggled with mental illness. Diagnosed as schizophrenic, David has been in and out of psychiatric hospitals for years. But after a strange encounter with a fellow patient, he’s confronted with the possibility that the voices he hears and the visions he sees might be real.Dan Stevens (The Guest), Rachel Keller (Fargo), Aubrey Plaza (Parks and Recreation) and Jean Smart (Fargo) star in the series.Noah Hawley (Fargo) will serve as an Executive Producer along with Lauren Shuler Donner (X-Men: Days of Future Past, The Wolverine), Bryan Singer (X-Men: Days of Future Past, Superman Returns), Simon Kinberg (“X-Men: Days of Future Past, The Martian), Jeph Loeb (Marvel’s Agents of S.H.I.E.L.D., Marvel’s Daredevil, Marvel’s Jessica Jones), Jim Chory (“Marvel’s Agents of S.H.I.E.L.D.,” “Marvel’s Daredevil,” “Marvel’s Jessica Jones”) and John Cameron (Fargo, The Big Lebowski). Legion is the latest project from Hawley and Cameron, two of the Executive Producers of the Emmy and Golden Globe-winning FX limited series Fargo.Legion will be produced by FX Productions and Marvel Television, with FXP handling the physical production.Watch the trailer here!(Source)" True text
marvelgifs 141244807258 "2016-03-18 07:27:49 GMT" http://marvelgifs.tumblr.com/post/141244807258/daredevil-season-2-is-now-streaming-on-netflix  True text
marvelgifs 140751184258 "2016-03-09 17:24:49 GMT" http://marvelgifs.tumblr.com/post/140751184258/the-captain-america-civil-war-world-trailer-will  True text
marvelgifs 139996478178 "2016-02-25 23:58:11 GMT" http://marvelgifs.tumblr.com/post/139996478178/game-of-thrones-actor-finn-jones-to-play-iron-fist "theavengers:  Marvel has found its newest superhero: Game of Thrones actor Finn Jones has landed the coveted series lead in Iron Fist. Jones, who plays Ser Loras Tyrell on the HBO hit, will take on the role of the martial arts master in the upcoming Netflix series, EW has learned. Iron Fist is set to be the fourth Marvel and Netflix collaboration, following Daredevil, Jessica Jones, and the forthcoming Luke Cage. Scott Buck (Dexter) has been tapped as showrunner. Marvel plans to eventually unite all its heroes in a series called The Defenders. In the comics, Iron Fist is Daniel Rand, who at age of 9 travels with his family from New York to a lost mystical city called K’un-L’un. After some tragic twists of fate, Rand is adopted by the city’s ruler and taught advanced martial arts and the mystical power of the Iron Fist. As an adult, Rand returns to his native New York and begins a career as a superhero. Some fans have urged Marvel to cast an Asian actor in the lead role, even though the character is white in the comics. Others countered that picking an Asian actor simply because the hero’s ability is martial arts would be a stereotypical move. Jones’ casting was first floated as a rumor on That Hashtag Show. Jones, who also appeared in British shows such as Hollyoaks, is next set to appear in season 6 of Thrones, while Marvel’s next premiere is the eagerly awaited return of Daredevil on March 18. Netflix and Marvel had no comment. " False text
marvelgifs 139790037868 "2016-02-22 14:46:51 GMT" http://marvelgifs.tumblr.com/post/139790037868/first-look-at-captain-america-civil-wars "  The new issue of Empire is as a kind of Mason-Dixon line for Captain America: Civil War, standing between the two sets of new foes with arms outstretched, saying “guys, guys…” in a placatory voice. Amongst the no-stone-left-unturned coverage in the Civil War cover story is a first look proper at Frank Grillo’s Crossbones. We’ve had Red Skull, now meet the other half of HYDRA’s un-jolly roger.    A reminder that HYDRA is still out there and up to no good, Crossbones is the superhero incarnation of Brock Rumlow. Part of a sleeper cell lurking within SHIELD in Captain America: The Winter Soldier, he’s now officially up, showered, breakfasted and is ready to unleash hell on Cap and co. We’d expect that, beneath the medieval-looking armour, he’s bearing the scars of Winter Soldier’s violent climax. How, and when, he resurfaces remains to be seen.  Less ambiguous is the role of Elizabeth Olsen’s Scarlet Witch. Shorn of her psychic twin, Quicksilver, she’s throwing her chips in with Cap (Chris Evans), Falcon (Anthony Mackie), Bucky (Sebastian Stan), Ant-Man (Paul Rudd), Hawkeye (Jeremy Renner). It’ll set her against her comic-book paramour, the Vision (Paul Bettany), a cohort of Tony Stark’s (Robert Downey Jr.) in the movie.Last, but definitely not least, is a closer look at the main event: Rogers versus Stark, Cap versus Iron Man, rebel against enforcer. The two old colleagues always had a tense friendship but thanks to Stark’s support for the superhero registration legislation, it’s fracturing beyond repair.For much more on Captain America: Civil War) pick up the new issue of Empire on Thursday, February 25. Head here for a rundown of all the Civil War footage we’ve been treated to so far and here for a full preview of an issue that also boasts world exclusive coverage of The Jungle Book, some amazing first looks and a very special tribute to David Bowie.Source. " True text
marvelgifs 133899706673 "2015-11-25 02:03:56 GMT" http://marvelgifs.tumblr.com/post/133899706673/we-might-be-getting-the-civil-war-trailer-tonight "(or a teaser trailer)Let’s hope we get the full thing though." True text
marvelgifs 133613654383 "2015-11-20 21:26:06 GMT" http://marvelgifs.tumblr.com/post/133613654383/just-a-reminder "Please remember that we are not a spoiler free blogWe will be reblogging and posting things related to Jessica Jones so if you don’t want to see it please remember to black list Jessica JonesIf you have no idea what I’m talking about when I recommend that you should black list something here is a little guide on what Tumblr Savior is and what it doesOkay cool- Tony" True text
marvelgifs 133583082183 "2015-11-20 08:14:34 GMT" http://marvelgifs.tumblr.com/post/133583082183/jessica-jones-season-1-is-now-available-on  True text
marvelgifs 130753494468 "2015-10-08 15:57:28 GMT" http://marvelgifs.tumblr.com/post/130753494468/some-marvel-movie-updates-the-second-ant-man "Some Marvel movie updates:The second Ant-Man “Ant-Man and the Wasp” is set to be released July 6, 2018Black Panther will be moving up to February 16, 2018 Captain Marvel will be released March 8, 2019 Three untitled Marvel movies will be released May 1, 2020, July 10 2020 and November 6, 2020!(Source: marvel.com)" True text
