15 40 100 3
0-TrainLoss = 2.730, TrainAccr= 0.080, ValidLoss = 2.354, ValidAccr= 0.037
1-TrainLoss = 2.543, TrainAccr= 0.070, ValidLoss = 2.324, ValidAccr= 0.124
2-TrainLoss = 2.484, TrainAccr= 0.065, ValidLoss = 2.313, ValidAccr= 0.132
3-TrainLoss = 2.432, TrainAccr= 0.078, ValidLoss = 2.298, ValidAccr= 0.142
4-TrainLoss = 2.365, TrainAccr= 0.102, ValidLoss = 2.293, ValidAccr= 0.169
5-TrainLoss = 2.288, TrainAccr= 0.143, ValidLoss = 2.280, ValidAccr= 0.195
6-TrainLoss = 2.169, TrainAccr= 0.205, ValidLoss = 2.254, ValidAccr= 0.235
7-TrainLoss = 2.027, TrainAccr= 0.303, ValidLoss = 2.222, ValidAccr= 0.263
8-TrainLoss = 1.844, TrainAccr= 0.416, ValidLoss = 2.178, ValidAccr= 0.286
9-TrainLoss = 1.605, TrainAccr= 0.542, ValidLoss = 2.135, ValidAccr= 0.299
10-TrainLoss = 1.353, TrainAccr= 0.640, ValidLoss = 2.090, ValidAccr= 0.309
11-TrainLoss = 1.114, TrainAccr= 0.728, ValidLoss = 2.058, ValidAccr= 0.296
12-TrainLoss = 0.918, TrainAccr= 0.795, ValidLoss = 2.081, ValidAccr= 0.265
13-TrainLoss = 0.734, TrainAccr= 0.850, ValidLoss = 2.126, ValidAccr= 0.258
14-TrainLoss = 0.599, TrainAccr= 0.886, ValidLoss = 2.144, ValidAccr= 0.273
15-TrainLoss = 0.494, TrainAccr= 0.921, ValidLoss = 2.157, ValidAccr= 0.289
16-TrainLoss = 0.419, TrainAccr= 0.928, ValidLoss = 2.179, ValidAccr= 0.283
17-TrainLoss = 0.343, TrainAccr= 0.948, ValidLoss = 2.229, ValidAccr= 0.281
18-TrainLoss = 0.281, TrainAccr= 0.959, ValidLoss = 2.280, ValidAccr= 0.271
19-TrainLoss = 0.236, TrainAccr= 0.972, ValidLoss = 2.340, ValidAccr= 0.269
accr is 0.300 accr per post is 0.263
0-TrainLoss = 2.842, TrainAccr= 0.070, ValidLoss = 2.663, ValidAccr= 0.038
1-TrainLoss = 2.565, TrainAccr= 0.075, ValidLoss = 2.531, ValidAccr= 0.054
2-TrainLoss = 2.470, TrainAccr= 0.079, ValidLoss = 2.450, ValidAccr= 0.088
3-TrainLoss = 2.381, TrainAccr= 0.107, ValidLoss = 2.397, ValidAccr= 0.122
4-TrainLoss = 2.287, TrainAccr= 0.162, ValidLoss = 2.356, ValidAccr= 0.137
5-TrainLoss = 2.177, TrainAccr= 0.237, ValidLoss = 2.300, ValidAccr= 0.165
6-TrainLoss = 2.044, TrainAccr= 0.305, ValidLoss = 2.250, ValidAccr= 0.185
7-TrainLoss = 1.857, TrainAccr= 0.417, ValidLoss = 2.202, ValidAccr= 0.194
8-TrainLoss = 1.666, TrainAccr= 0.520, ValidLoss = 2.141, ValidAccr= 0.222
9-TrainLoss = 1.444, TrainAccr= 0.620, ValidLoss = 2.091, ValidAccr= 0.229
10-TrainLoss = 1.218, TrainAccr= 0.707, ValidLoss = 2.042, ValidAccr= 0.277
11-TrainLoss = 0.999, TrainAccr= 0.788, ValidLoss = 2.005, ValidAccr= 0.297
12-TrainLoss = 0.806, TrainAccr= 0.856, ValidLoss = 1.995, ValidAccr= 0.329
13-TrainLoss = 0.653, TrainAccr= 0.900, ValidLoss = 2.016, ValidAccr= 0.312
14-TrainLoss = 0.542, TrainAccr= 0.917, ValidLoss = 1.963, ValidAccr= 0.343
15-TrainLoss = 0.427, TrainAccr= 0.945, ValidLoss = 1.970, ValidAccr= 0.356
16-TrainLoss = 0.350, TrainAccr= 0.959, ValidLoss = 1.996, ValidAccr= 0.353
17-TrainLoss = 0.290, TrainAccr= 0.969, ValidLoss = 1.982, ValidAccr= 0.366
18-TrainLoss = 0.246, TrainAccr= 0.977, ValidLoss = 1.940, ValidAccr= 0.363
19-TrainLoss = 0.213, TrainAccr= 0.983, ValidLoss = 1.996, ValidAccr= 0.365
accr is 0.700 accr per post is 0.359
0-TrainLoss = 3.087, TrainAccr= 0.071, ValidLoss = 2.564, ValidAccr= 0.031
1-TrainLoss = 2.671, TrainAccr= 0.070, ValidLoss = 2.364, ValidAccr= 0.067
2-TrainLoss = 2.547, TrainAccr= 0.072, ValidLoss = 2.293, ValidAccr= 0.112
3-TrainLoss = 2.456, TrainAccr= 0.095, ValidLoss = 2.264, ValidAccr= 0.181
4-TrainLoss = 2.364, TrainAccr= 0.124, ValidLoss = 2.241, ValidAccr= 0.223
5-TrainLoss = 2.264, TrainAccr= 0.170, ValidLoss = 2.221, ValidAccr= 0.249
6-TrainLoss = 2.136, TrainAccr= 0.249, ValidLoss = 2.198, ValidAccr= 0.265
7-TrainLoss = 1.985, TrainAccr= 0.350, ValidLoss = 2.175, ValidAccr= 0.266
8-TrainLoss = 1.804, TrainAccr= 0.458, ValidLoss = 2.146, ValidAccr= 0.285
9-TrainLoss = 1.603, TrainAccr= 0.560, ValidLoss = 2.121, ValidAccr= 0.296
10-TrainLoss = 1.410, TrainAccr= 0.653, ValidLoss = 2.100, ValidAccr= 0.307
11-TrainLoss = 1.220, TrainAccr= 0.726, ValidLoss = 2.087, ValidAccr= 0.311
12-TrainLoss = 1.051, TrainAccr= 0.782, ValidLoss = 2.080, ValidAccr= 0.325
13-TrainLoss = 0.898, TrainAccr= 0.829, ValidLoss = 2.092, ValidAccr= 0.333
14-TrainLoss = 0.766, TrainAccr= 0.870, ValidLoss = 2.105, ValidAccr= 0.337
15-TrainLoss = 0.658, TrainAccr= 0.905, ValidLoss = 2.108, ValidAccr= 0.339
16-TrainLoss = 0.572, TrainAccr= 0.926, ValidLoss = 2.123, ValidAccr= 0.339
17-TrainLoss = 0.485, TrainAccr= 0.948, ValidLoss = 2.147, ValidAccr= 0.335
18-TrainLoss = 0.425, TrainAccr= 0.960, ValidLoss = 2.195, ValidAccr= 0.333
19-TrainLoss = 0.356, TrainAccr= 0.972, ValidLoss = 2.142, ValidAccr= 0.349
accr is 0.600 accr per post is 0.353
0-TrainLoss = 2.879, TrainAccr= 0.099, ValidLoss = 2.437, ValidAccr= 0.064
1-TrainLoss = 2.593, TrainAccr= 0.079, ValidLoss = 2.312, ValidAccr= 0.064
2-TrainLoss = 2.503, TrainAccr= 0.079, ValidLoss = 2.269, ValidAccr= 0.074
3-TrainLoss = 2.402, TrainAccr= 0.097, ValidLoss = 2.243, ValidAccr= 0.097
4-TrainLoss = 2.276, TrainAccr= 0.151, ValidLoss = 2.211, ValidAccr= 0.103
5-TrainLoss = 2.114, TrainAccr= 0.247, ValidLoss = 2.199, ValidAccr= 0.110
6-TrainLoss = 1.890, TrainAccr= 0.377, ValidLoss = 2.371, ValidAccr= 0.148
7-TrainLoss = 1.634, TrainAccr= 0.514, ValidLoss = 2.280, ValidAccr= 0.201
8-TrainLoss = 1.416, TrainAccr= 0.612, ValidLoss = 2.098, ValidAccr= 0.300
9-TrainLoss = 1.170, TrainAccr= 0.743, ValidLoss = 2.196, ValidAccr= 0.346
10-TrainLoss = 0.986, TrainAccr= 0.815, ValidLoss = 2.189, ValidAccr= 0.382
11-TrainLoss = 0.828, TrainAccr= 0.866, ValidLoss = 2.091, ValidAccr= 0.401
12-TrainLoss = 0.691, TrainAccr= 0.900, ValidLoss = 2.148, ValidAccr= 0.412
13-TrainLoss = 0.571, TrainAccr= 0.925, ValidLoss = 2.091, ValidAccr= 0.422
14-TrainLoss = 0.468, TrainAccr= 0.943, ValidLoss = 2.078, ValidAccr= 0.431
15-TrainLoss = 0.396, TrainAccr= 0.953, ValidLoss = 2.061, ValidAccr= 0.430
16-TrainLoss = 0.329, TrainAccr= 0.963, ValidLoss = 2.089, ValidAccr= 0.426
17-TrainLoss = 0.276, TrainAccr= 0.972, ValidLoss = 2.108, ValidAccr= 0.428
18-TrainLoss = 0.240, TrainAccr= 0.975, ValidLoss = 2.075, ValidAccr= 0.425
19-TrainLoss = 0.198, TrainAccr= 0.983, ValidLoss = 2.093, ValidAccr= 0.425
accr is 0.500 accr per post is 0.419
0-TrainLoss = 2.918, TrainAccr= 0.084, ValidLoss = 2.355, ValidAccr= 0.191
1-TrainLoss = 2.581, TrainAccr= 0.058, ValidLoss = 2.284, ValidAccr= 0.191
2-TrainLoss = 2.483, TrainAccr= 0.068, ValidLoss = 2.263, ValidAccr= 0.191
3-TrainLoss = 2.426, TrainAccr= 0.079, ValidLoss = 2.251, ValidAccr= 0.192
4-TrainLoss = 2.368, TrainAccr= 0.102, ValidLoss = 2.236, ValidAccr= 0.209
5-TrainLoss = 2.291, TrainAccr= 0.139, ValidLoss = 2.227, ValidAccr= 0.229
6-TrainLoss = 2.214, TrainAccr= 0.182, ValidLoss = 2.220, ValidAccr= 0.225
7-TrainLoss = 2.115, TrainAccr= 0.246, ValidLoss = 2.204, ValidAccr= 0.234
8-TrainLoss = 1.993, TrainAccr= 0.312, ValidLoss = 2.192, ValidAccr= 0.202
9-TrainLoss = 1.846, TrainAccr= 0.394, ValidLoss = 2.180, ValidAccr= 0.200
10-TrainLoss = 1.675, TrainAccr= 0.488, ValidLoss = 2.170, ValidAccr= 0.201
11-TrainLoss = 1.506, TrainAccr= 0.565, ValidLoss = 2.159, ValidAccr= 0.189
12-TrainLoss = 1.321, TrainAccr= 0.653, ValidLoss = 2.158, ValidAccr= 0.208
13-TrainLoss = 1.137, TrainAccr= 0.735, ValidLoss = 2.164, ValidAccr= 0.229
14-TrainLoss = 0.960, TrainAccr= 0.796, ValidLoss = 2.170, ValidAccr= 0.238
15-TrainLoss = 0.801, TrainAccr= 0.849, ValidLoss = 2.186, ValidAccr= 0.231
16-TrainLoss = 0.656, TrainAccr= 0.889, ValidLoss = 2.276, ValidAccr= 0.205
17-TrainLoss = 0.554, TrainAccr= 0.913, ValidLoss = 2.311, ValidAccr= 0.216
18-TrainLoss = 0.450, TrainAccr= 0.932, ValidLoss = 2.372, ValidAccr= 0.221
19-TrainLoss = 0.365, TrainAccr= 0.952, ValidLoss = 2.429, ValidAccr= 0.225
accr is 0.500 accr per post is 0.236
15 45 100 3
0-TrainLoss = 2.858, TrainAccr= 0.078, ValidLoss = 2.542, ValidAccr= 0.042
1-TrainLoss = 2.585, TrainAccr= 0.072, ValidLoss = 2.468, ValidAccr= 0.054
2-TrainLoss = 2.495, TrainAccr= 0.071, ValidLoss = 2.448, ValidAccr= 0.051
3-TrainLoss = 2.422, TrainAccr= 0.087, ValidLoss = 2.422, ValidAccr= 0.045
4-TrainLoss = 2.347, TrainAccr= 0.116, ValidLoss = 2.398, ValidAccr= 0.054
5-TrainLoss = 2.245, TrainAccr= 0.174, ValidLoss = 2.385, ValidAccr= 0.076
6-TrainLoss = 2.108, TrainAccr= 0.282, ValidLoss = 2.348, ValidAccr= 0.093
7-TrainLoss = 1.948, TrainAccr= 0.383, ValidLoss = 2.304, ValidAccr= 0.121
8-TrainLoss = 1.772, TrainAccr= 0.486, ValidLoss = 2.261, ValidAccr= 0.148
9-TrainLoss = 1.581, TrainAccr= 0.592, ValidLoss = 2.219, ValidAccr= 0.164
10-TrainLoss = 1.393, TrainAccr= 0.680, ValidLoss = 2.182, ValidAccr= 0.195
11-TrainLoss = 1.216, TrainAccr= 0.751, ValidLoss = 2.150, ValidAccr= 0.216
12-TrainLoss = 1.037, TrainAccr= 0.818, ValidLoss = 2.124, ValidAccr= 0.222
13-TrainLoss = 0.883, TrainAccr= 0.866, ValidLoss = 2.100, ValidAccr= 0.232
14-TrainLoss = 0.742, TrainAccr= 0.895, ValidLoss = 2.073, ValidAccr= 0.242
15-TrainLoss = 0.623, TrainAccr= 0.926, ValidLoss = 2.049, ValidAccr= 0.259
16-TrainLoss = 0.549, TrainAccr= 0.921, ValidLoss = 2.116, ValidAccr= 0.258
17-TrainLoss = 0.440, TrainAccr= 0.953, ValidLoss = 2.011, ValidAccr= 0.285
18-TrainLoss = 0.371, TrainAccr= 0.967, ValidLoss = 1.988, ValidAccr= 0.305
19-TrainLoss = 0.312, TrainAccr= 0.976, ValidLoss = 1.981, ValidAccr= 0.312
accr is 0.800 accr per post is 0.304
0-TrainLoss = 2.797, TrainAccr= 0.092, ValidLoss = 2.625, ValidAccr= 0.058
1-TrainLoss = 2.542, TrainAccr= 0.075, ValidLoss = 2.459, ValidAccr= 0.058
2-TrainLoss = 2.476, TrainAccr= 0.074, ValidLoss = 2.377, ValidAccr= 0.063
3-TrainLoss = 2.400, TrainAccr= 0.084, ValidLoss = 2.326, ValidAccr= 0.073
4-TrainLoss = 2.326, TrainAccr= 0.109, ValidLoss = 2.290, ValidAccr= 0.091
5-TrainLoss = 2.248, TrainAccr= 0.150, ValidLoss = 2.255, ValidAccr= 0.139
6-TrainLoss = 2.146, TrainAccr= 0.217, ValidLoss = 2.211, ValidAccr= 0.195
7-TrainLoss = 2.013, TrainAccr= 0.304, ValidLoss = 2.182, ValidAccr= 0.236
8-TrainLoss = 1.853, TrainAccr= 0.425, ValidLoss = 2.128, ValidAccr= 0.302
9-TrainLoss = 1.667, TrainAccr= 0.538, ValidLoss = 2.078, ValidAccr= 0.318
10-TrainLoss = 1.458, TrainAccr= 0.648, ValidLoss = 2.023, ValidAccr= 0.334
11-TrainLoss = 1.248, TrainAccr= 0.728, ValidLoss = 1.978, ValidAccr= 0.344
12-TrainLoss = 1.174, TrainAccr= 0.664, ValidLoss = 2.073, ValidAccr= 0.316
13-TrainLoss = 1.089, TrainAccr= 0.704, ValidLoss = 1.916, ValidAccr= 0.345
14-TrainLoss = 0.783, TrainAccr= 0.845, ValidLoss = 1.822, ValidAccr= 0.379
15-TrainLoss = 0.636, TrainAccr= 0.896, ValidLoss = 1.937, ValidAccr= 0.338
16-TrainLoss = 0.500, TrainAccr= 0.926, ValidLoss = 1.871, ValidAccr= 0.356
17-TrainLoss = 0.412, TrainAccr= 0.942, ValidLoss = 1.888, ValidAccr= 0.362
18-TrainLoss = 0.378, TrainAccr= 0.948, ValidLoss = 1.882, ValidAccr= 0.361
19-TrainLoss = 0.302, TrainAccr= 0.970, ValidLoss = 1.878, ValidAccr= 0.364
accr is 0.500 accr per post is 0.354
0-TrainLoss = 2.840, TrainAccr= 0.024, ValidLoss = 2.309, ValidAccr= 0.154
1-TrainLoss = 2.644, TrainAccr= 0.047, ValidLoss = 2.270, ValidAccr= 0.156
2-TrainLoss = 2.547, TrainAccr= 0.061, ValidLoss = 2.247, ValidAccr= 0.217
3-TrainLoss = 2.449, TrainAccr= 0.094, ValidLoss = 2.223, ValidAccr= 0.249
4-TrainLoss = 2.346, TrainAccr= 0.151, ValidLoss = 2.206, ValidAccr= 0.277
5-TrainLoss = 2.234, TrainAccr= 0.215, ValidLoss = 2.184, ValidAccr= 0.289
6-TrainLoss = 2.093, TrainAccr= 0.305, ValidLoss = 2.156, ValidAccr= 0.302
7-TrainLoss = 1.924, TrainAccr= 0.396, ValidLoss = 2.115, ValidAccr= 0.330
8-TrainLoss = 1.706, TrainAccr= 0.513, ValidLoss = 2.068, ValidAccr= 0.337
9-TrainLoss = 1.478, TrainAccr= 0.605, ValidLoss = 2.014, ValidAccr= 0.345
10-TrainLoss = 1.242, TrainAccr= 0.694, ValidLoss = 1.999, ValidAccr= 0.333
11-TrainLoss = 1.001, TrainAccr= 0.779, ValidLoss = 2.014, ValidAccr= 0.327
12-TrainLoss = 0.789, TrainAccr= 0.849, ValidLoss = 2.046, ValidAccr= 0.324
13-TrainLoss = 0.643, TrainAccr= 0.883, ValidLoss = 2.032, ValidAccr= 0.333
14-TrainLoss = 0.507, TrainAccr= 0.926, ValidLoss = 2.059, ValidAccr= 0.325
15-TrainLoss = 0.410, TrainAccr= 0.952, ValidLoss = 2.059, ValidAccr= 0.327
16-TrainLoss = 0.334, TrainAccr= 0.966, ValidLoss = 2.069, ValidAccr= 0.324
17-TrainLoss = 0.282, TrainAccr= 0.976, ValidLoss = 2.115, ValidAccr= 0.313
18-TrainLoss = 0.239, TrainAccr= 0.981, ValidLoss = 2.086, ValidAccr= 0.321
19-TrainLoss = 0.201, TrainAccr= 0.987, ValidLoss = 2.210, ValidAccr= 0.297
accr is 0.600 accr per post is 0.304
0-TrainLoss = 2.627, TrainAccr= 0.021, ValidLoss = 2.222, ValidAccr= 0.102
1-TrainLoss = 2.459, TrainAccr= 0.065, ValidLoss = 2.196, ValidAccr= 0.389
2-TrainLoss = 2.366, TrainAccr= 0.085, ValidLoss = 2.190, ValidAccr= 0.369
3-TrainLoss = 2.260, TrainAccr= 0.155, ValidLoss = 2.191, ValidAccr= 0.293
4-TrainLoss = 2.157, TrainAccr= 0.262, ValidLoss = 2.189, ValidAccr= 0.251
5-TrainLoss = 2.004, TrainAccr= 0.375, ValidLoss = 2.182, ValidAccr= 0.247
6-TrainLoss = 1.822, TrainAccr= 0.506, ValidLoss = 2.178, ValidAccr= 0.246
7-TrainLoss = 1.615, TrainAccr= 0.604, ValidLoss = 2.172, ValidAccr= 0.257
8-TrainLoss = 1.382, TrainAccr= 0.712, ValidLoss = 2.166, ValidAccr= 0.264
9-TrainLoss = 1.156, TrainAccr= 0.792, ValidLoss = 2.134, ValidAccr= 0.289
10-TrainLoss = 0.928, TrainAccr= 0.866, ValidLoss = 2.112, ValidAccr= 0.313
11-TrainLoss = 0.732, TrainAccr= 0.916, ValidLoss = 2.113, ValidAccr= 0.319
12-TrainLoss = 0.562, TrainAccr= 0.947, ValidLoss = 2.104, ValidAccr= 0.323
13-TrainLoss = 0.437, TrainAccr= 0.965, ValidLoss = 2.104, ValidAccr= 0.326
14-TrainLoss = 0.341, TrainAccr= 0.979, ValidLoss = 2.286, ValidAccr= 0.299
15-TrainLoss = 0.265, TrainAccr= 0.983, ValidLoss = 2.110, ValidAccr= 0.344
16-TrainLoss = 0.209, TrainAccr= 0.989, ValidLoss = 2.906, ValidAccr= 0.277
17-TrainLoss = 0.174, TrainAccr= 0.991, ValidLoss = 2.168, ValidAccr= 0.361
18-TrainLoss = 0.139, TrainAccr= 0.993, ValidLoss = 2.152, ValidAccr= 0.371
19-TrainLoss = 0.115, TrainAccr= 0.994, ValidLoss = 2.231, ValidAccr= 0.371
accr is 0.500 accr per post is 0.355
0-TrainLoss = 2.877, TrainAccr= 0.100, ValidLoss = 2.727, ValidAccr= 0.039
1-TrainLoss = 2.592, TrainAccr= 0.101, ValidLoss = 2.627, ValidAccr= 0.039
2-TrainLoss = 2.481, TrainAccr= 0.116, ValidLoss = 2.559, ValidAccr= 0.038
3-TrainLoss = 2.367, TrainAccr= 0.152, ValidLoss = 2.502, ValidAccr= 0.049
4-TrainLoss = 2.261, TrainAccr= 0.198, ValidLoss = 2.450, ValidAccr= 0.055
5-TrainLoss = 2.134, TrainAccr= 0.271, ValidLoss = 2.391, ValidAccr= 0.060
6-TrainLoss = 1.976, TrainAccr= 0.377, ValidLoss = 2.348, ValidAccr= 0.083
7-TrainLoss = 1.805, TrainAccr= 0.492, ValidLoss = 2.306, ValidAccr= 0.105
8-TrainLoss = 1.623, TrainAccr= 0.581, ValidLoss = 2.247, ValidAccr= 0.146
9-TrainLoss = 1.406, TrainAccr= 0.678, ValidLoss = 2.204, ValidAccr= 0.181
10-TrainLoss = 1.190, TrainAccr= 0.754, ValidLoss = 2.149, ValidAccr= 0.223
11-TrainLoss = 0.991, TrainAccr= 0.821, ValidLoss = 2.092, ValidAccr= 0.273
12-TrainLoss = 0.804, TrainAccr= 0.872, ValidLoss = 2.041, ValidAccr= 0.299
13-TrainLoss = 0.645, TrainAccr= 0.912, ValidLoss = 2.022, ValidAccr= 0.318
14-TrainLoss = 0.518, TrainAccr= 0.936, ValidLoss = 2.001, ValidAccr= 0.323
15-TrainLoss = 0.417, TrainAccr= 0.957, ValidLoss = 2.007, ValidAccr= 0.330
16-TrainLoss = 0.330, TrainAccr= 0.971, ValidLoss = 2.010, ValidAccr= 0.338
17-TrainLoss = 0.267, TrainAccr= 0.980, ValidLoss = 2.013, ValidAccr= 0.343
18-TrainLoss = 0.218, TrainAccr= 0.985, ValidLoss = 2.038, ValidAccr= 0.342
19-TrainLoss = 0.180, TrainAccr= 0.989, ValidLoss = 2.050, ValidAccr= 0.346
accr is 0.700 accr per post is 0.345
15 50 100 3
0-TrainLoss = 2.816, TrainAccr= 0.038, ValidLoss = 2.385, ValidAccr= 0.138
1-TrainLoss = 2.584, TrainAccr= 0.068, ValidLoss = 2.361, ValidAccr= 0.148
2-TrainLoss = 2.487, TrainAccr= 0.083, ValidLoss = 2.352, ValidAccr= 0.153
3-TrainLoss = 2.402, TrainAccr= 0.112, ValidLoss = 2.338, ValidAccr= 0.157
4-TrainLoss = 2.293, TrainAccr= 0.156, ValidLoss = 2.306, ValidAccr= 0.164
5-TrainLoss = 2.142, TrainAccr= 0.231, ValidLoss = 2.245, ValidAccr= 0.179
6-TrainLoss = 1.979, TrainAccr= 0.313, ValidLoss = 2.191, ValidAccr= 0.196
7-TrainLoss = 1.815, TrainAccr= 0.401, ValidLoss = 2.137, ValidAccr= 0.248
8-TrainLoss = 1.626, TrainAccr= 0.520, ValidLoss = 2.075, ValidAccr= 0.306
9-TrainLoss = 1.443, TrainAccr= 0.632, ValidLoss = 2.021, ValidAccr= 0.347
10-TrainLoss = 1.282, TrainAccr= 0.682, ValidLoss = 2.067, ValidAccr= 0.354
11-TrainLoss = 1.127, TrainAccr= 0.782, ValidLoss = 1.947, ValidAccr= 0.384
12-TrainLoss = 0.933, TrainAccr= 0.843, ValidLoss = 1.908, ValidAccr= 0.396
13-TrainLoss = 0.776, TrainAccr= 0.884, ValidLoss = 1.894, ValidAccr= 0.387
14-TrainLoss = 0.628, TrainAccr= 0.921, ValidLoss = 1.876, ValidAccr= 0.397
