15 85 85 3
0-TrainLoss = 2.897, TrainAccr= 0.073, ValidLoss = 3.280, ValidAccr= 0.088
1-TrainLoss = 2.595, TrainAccr= 0.066, ValidLoss = 2.909, ValidAccr= 0.054
2-TrainLoss = 2.449, TrainAccr= 0.097, ValidLoss = 2.704, ValidAccr= 0.050
3-TrainLoss = 2.342, TrainAccr= 0.150, ValidLoss = 2.587, ValidAccr= 0.059
4-TrainLoss = 2.234, TrainAccr= 0.229, ValidLoss = 2.500, ValidAccr= 0.067
5-TrainLoss = 2.090, TrainAccr= 0.319, ValidLoss = 2.436, ValidAccr= 0.100
6-TrainLoss = 1.934, TrainAccr= 0.406, ValidLoss = 2.376, ValidAccr= 0.106
7-TrainLoss = 1.754, TrainAccr= 0.493, ValidLoss = 2.310, ValidAccr= 0.126
8-TrainLoss = 1.547, TrainAccr= 0.601, ValidLoss = 2.243, ValidAccr= 0.145
9-TrainLoss = 1.327, TrainAccr= 0.714, ValidLoss = 2.189, ValidAccr= 0.176
10-TrainLoss = 1.125, TrainAccr= 0.804, ValidLoss = 2.132, ValidAccr= 0.206
11-TrainLoss = 0.923, TrainAccr= 0.876, ValidLoss = 2.076, ValidAccr= 0.240
12-TrainLoss = 0.748, TrainAccr= 0.919, ValidLoss = 2.037, ValidAccr= 0.268
13-TrainLoss = 0.598, TrainAccr= 0.946, ValidLoss = 1.993, ValidAccr= 0.296
14-TrainLoss = 0.479, TrainAccr= 0.963, ValidLoss = 1.953, ValidAccr= 0.322
15-TrainLoss = 0.383, TrainAccr= 0.974, ValidLoss = 1.933, ValidAccr= 0.326
16-TrainLoss = 0.309, TrainAccr= 0.982, ValidLoss = 1.910, ValidAccr= 0.345
17-TrainLoss = 0.255, TrainAccr= 0.988, ValidLoss = 1.904, ValidAccr= 0.346
18-TrainLoss = 0.215, TrainAccr= 0.990, ValidLoss = 1.920, ValidAccr= 0.350
19-TrainLoss = 0.180, TrainAccr= 0.994, ValidLoss = 1.963, ValidAccr= 0.344
