70 15 85 3
Training Loss = 2.838, Training Accuracy= 0.020
Validation Loss = 2.268, Validation Accuracy= 0.157
Training Loss = 2.610, Training Accuracy= 0.000
Validation Loss = 2.255, Validation Accuracy= 0.157
Training Loss = 2.539, Training Accuracy= 0.000
Validation Loss = 2.262, Validation Accuracy= 0.157
Training Loss = 2.481, Training Accuracy= 0.000
Validation Loss = 2.258, Validation Accuracy= 0.157
Training Loss = 2.418, Training Accuracy= 0.003
Validation Loss = 2.257, Validation Accuracy= 0.170
Training Loss = 2.339, Training Accuracy= 0.089
Validation Loss = 2.250, Validation Accuracy= 0.195
Training Loss = 2.225, Training Accuracy= 0.192
Validation Loss = 2.239, Validation Accuracy= 0.206
Training Loss = 2.056, Training Accuracy= 0.284
Validation Loss = 2.235, Validation Accuracy= 0.167
Training Loss = 1.859, Training Accuracy= 0.369
Validation Loss = 2.182, Validation Accuracy= 0.198
Training Loss = 1.622, Training Accuracy= 0.464
Validation Loss = 2.281, Validation Accuracy= 0.142
Training Loss = 1.429, Training Accuracy= 0.521
Validation Loss = 2.186, Validation Accuracy= 0.190
Training Loss = 1.258, Training Accuracy= 0.578
Validation Loss = 2.061, Validation Accuracy= 0.217
Training Loss = 1.042, Training Accuracy= 0.604
Validation Loss = 2.107, Validation Accuracy= 0.212
Training Loss = 0.809, Training Accuracy= 0.739
Validation Loss = 2.243, Validation Accuracy= 0.205
Training Loss = 0.675, Training Accuracy= 0.813
Validation Loss = 3.326, Validation Accuracy= 0.140
Training Loss = 0.675, Training Accuracy= 0.788
Validation Loss = 2.367, Validation Accuracy= 0.207
Training Loss = 0.487, Training Accuracy= 0.892
Validation Loss = 2.222, Validation Accuracy= 0.246
Training Loss = 0.297, Training Accuracy= 0.949
Validation Loss = 2.346, Validation Accuracy= 0.235
Training Loss = 0.233, Training Accuracy= 0.950
Validation Loss = 2.537, Validation Accuracy= 0.237
Training Loss = 0.160, Training Accuracy= 0.969
Validation Loss = 2.793, Validation Accuracy= 0.259
accr is 0.400 accr per post is 0.256
Training Loss = 2.656, Training Accuracy= 0.000
Validation Loss = 2.204, Validation Accuracy= 0.083
Training Loss = 2.529, Training Accuracy= 0.000
Validation Loss = 2.203, Validation Accuracy= 0.108
Training Loss = 2.436, Training Accuracy= 0.001
Validation Loss = 2.220, Validation Accuracy= 0.192
Training Loss = 2.403, Training Accuracy= 0.000
Validation Loss = 2.210, Validation Accuracy= 0.229
Training Loss = 2.360, Training Accuracy= 0.010
Validation Loss = 2.213, Validation Accuracy= 0.289
Training Loss = 2.290, Training Accuracy= 0.096
Validation Loss = 2.202, Validation Accuracy= 0.307
Training Loss = 2.179, Training Accuracy= 0.279
Validation Loss = 2.183, Validation Accuracy= 0.316
Training Loss = 2.012, Training Accuracy= 0.420
Validation Loss = 2.142, Validation Accuracy= 0.320
Training Loss = 1.790, Training Accuracy= 0.469
Validation Loss = 2.070, Validation Accuracy= 0.373
Training Loss = 1.555, Training Accuracy= 0.627
Validation Loss = 2.013, Validation Accuracy= 0.351
Training Loss = 1.356, Training Accuracy= 0.622
Validation Loss = 1.985, Validation Accuracy= 0.375
Training Loss = 1.149, Training Accuracy= 0.689
Validation Loss = 1.920, Validation Accuracy= 0.360
Training Loss = 0.911, Training Accuracy= 0.767
Validation Loss = 1.886, Validation Accuracy= 0.338
Training Loss = 0.723, Training Accuracy= 0.818
Validation Loss = 1.889, Validation Accuracy= 0.292
Training Loss = 0.605, Training Accuracy= 0.825
Validation Loss = 1.919, Validation Accuracy= 0.304
Training Loss = 0.501, Training Accuracy= 0.917
Validation Loss = 1.940, Validation Accuracy= 0.323
Training Loss = 0.354, Training Accuracy= 0.930
Validation Loss = 1.987, Validation Accuracy= 0.278
Training Loss = 0.299, Training Accuracy= 0.939
Validation Loss = 2.058, Validation Accuracy= 0.331
Training Loss = 0.203, Training Accuracy= 0.961
Validation Loss = 2.095, Validation Accuracy= 0.327
Training Loss = 0.174, Training Accuracy= 0.966
Validation Loss = 2.177, Validation Accuracy= 0.331
accr is 0.700 accr per post is 0.328
50 10 100 4
Training Loss = 2.851, Training Accuracy= 0.000
Validation Loss = 2.391, Validation Accuracy= 0.021
Training Loss = 2.681, Training Accuracy= 0.000
Validation Loss = 2.268, Validation Accuracy= 0.111
Training Loss = 2.543, Training Accuracy= 0.000
Validation Loss = 2.279, Validation Accuracy= 0.111
Training Loss = 2.506, Training Accuracy= 0.000
Validation Loss = 2.283, Validation Accuracy= 0.112
Training Loss = 2.452, Training Accuracy= 0.000
Validation Loss = 2.277, Validation Accuracy= 0.113
Training Loss = 2.404, Training Accuracy= 0.038
Validation Loss = 2.277, Validation Accuracy= 0.119
Training Loss = 2.335, Training Accuracy= 0.098
Validation Loss = 2.268, Validation Accuracy= 0.122
Training Loss = 2.251, Training Accuracy= 0.134
Validation Loss = 2.252, Validation Accuracy= 0.125
Training Loss = 2.128, Training Accuracy= 0.196
Validation Loss = 2.248, Validation Accuracy= 0.123
Training Loss = 1.993, Training Accuracy= 0.294
Validation Loss = 2.195, Validation Accuracy= 0.146
Training Loss = 1.906, Training Accuracy= 0.351
Validation Loss = 2.164, Validation Accuracy= 0.175
Training Loss = 1.719, Training Accuracy= 0.434
Validation Loss = 2.168, Validation Accuracy= 0.147
Training Loss = 1.537, Training Accuracy= 0.494
Validation Loss = 2.076, Validation Accuracy= 0.235
Training Loss = 1.344, Training Accuracy= 0.578
Validation Loss = 2.092, Validation Accuracy= 0.234
Training Loss = 1.153, Training Accuracy= 0.662
Validation Loss = 2.103, Validation Accuracy= 0.255
Training Loss = 0.948, Training Accuracy= 0.738
Validation Loss = 2.110, Validation Accuracy= 0.217
Training Loss = 0.775, Training Accuracy= 0.790
Validation Loss = 2.156, Validation Accuracy= 0.207
Training Loss = 0.642, Training Accuracy= 0.821
Validation Loss = 2.154, Validation Accuracy= 0.283
Training Loss = 0.473, Training Accuracy= 0.869
Validation Loss = 2.204, Validation Accuracy= 0.282
Training Loss = 0.400, Training Accuracy= 0.890
Validation Loss = 2.143, Validation Accuracy= 0.360
accr is 0.300 accr per post is 0.360
Training Loss = 3.016, Training Accuracy= 0.100
Validation Loss = 2.678, Validation Accuracy= 0.041
Training Loss = 2.684, Training Accuracy= 0.083
Validation Loss = 2.483, Validation Accuracy= 0.073
Training Loss = 2.692, Training Accuracy= 0.000
Validation Loss = 2.451, Validation Accuracy= 0.045
Training Loss = 2.538, Training Accuracy= 0.065
Validation Loss = 2.372, Validation Accuracy= 0.130
Training Loss = 2.504, Training Accuracy= 0.021
Validation Loss = 2.351, Validation Accuracy= 0.147
Training Loss = 2.434, Training Accuracy= 0.067
Validation Loss = 2.339, Validation Accuracy= 0.122
Training Loss = 2.397, Training Accuracy= 0.105
Validation Loss = 2.325, Validation Accuracy= 0.136
Training Loss = 2.320, Training Accuracy= 0.179
Validation Loss = 2.325, Validation Accuracy= 0.103
Training Loss = 2.236, Training Accuracy= 0.206
Validation Loss = 2.314, Validation Accuracy= 0.129
Training Loss = 2.122, Training Accuracy= 0.258
Validation Loss = 2.297, Validation Accuracy= 0.135
Training Loss = 2.001, Training Accuracy= 0.312
Validation Loss = 2.323, Validation Accuracy= 0.119
Training Loss = 1.889, Training Accuracy= 0.386
Validation Loss = 2.267, Validation Accuracy= 0.169
Training Loss = 1.692, Training Accuracy= 0.452
Validation Loss = 2.281, Validation Accuracy= 0.149
Training Loss = 1.639, Training Accuracy= 0.485
Validation Loss = 2.288, Validation Accuracy= 0.201
Training Loss = 1.329, Training Accuracy= 0.660
Validation Loss = 2.295, Validation Accuracy= 0.184
Training Loss = 1.154, Training Accuracy= 0.700
Validation Loss = 2.376, Validation Accuracy= 0.174
Training Loss = 1.000, Training Accuracy= 0.753
Validation Loss = 2.496, Validation Accuracy= 0.135
Training Loss = 0.974, Training Accuracy= 0.764
Validation Loss = 2.356, Validation Accuracy= 0.184
Training Loss = 0.772, Training Accuracy= 0.854
Validation Loss = 2.510, Validation Accuracy= 0.164
Training Loss = 0.632, Training Accuracy= 0.874
Validation Loss = 2.567, Validation Accuracy= 0.160
accr is 0.300 accr per post is 0.166
85 70 85 5
Training Loss = 2.867, Training Accuracy= 0.032
Validation Loss = 2.656, Validation Accuracy= 0.095
Training Loss = 2.636, Training Accuracy= 0.000
Validation Loss = 2.542, Validation Accuracy= 0.034
Training Loss = 2.535, Training Accuracy= 0.000
